Data from the Singer et al. paper on survey incentives
86 350 -0.5 0.61  0.0  0.0    NA  0.000000        NA -0.5
87 350 -0.5 0.53 -0.5 -0.5 -0.07  5.335120  5.335120 -0.5
88 360 -0.5 0.28  0.0  0.0    NA  0.000000        NA -0.5
89 360 -0.5 0.27 -0.5 -0.5 -0.01 26.725934 26.725934 -0.5
90 370 -0.5 0.74  0.0  0.0    NA  0.000000        NA -0.5
91 370 -0.5 0.74 -0.5 -0.5  0.00  5.335120  5.335120 -0.5
92 370 -0.5 0.78 -0.5 -0.5  0.04 10.687018 10.687018 -0.5
93 380 -0.5 0.38  0.0  0.0    NA  0.000000        NA -0.5
94 380 -0.5 0.46 -0.5 -0.5  0.08 16.038916 16.038916 -0.5
 95 380 -0.5 0.52 -0.5 -0.5  0.14 26.725934 26.725934 -0.5
 96 380 -0.5 0.49 -0.5 -0.5  0.11 37.429729 37.429729 -0.5
 97 400 -0.5 0.35  0.0  0.0    NA  0.000000        NA -0.5
 98 400 -0.5 0.40  0.5  0.5  0.05  3.204428  3.204428 -0.5
 99 400 -0.5 0.48  0.5 -0.5  0.13  5.335120  5.335120 -0.5
100 400 -0.5 0.46  0.5 -0.5  0.11 10.687018 10.687018 -0.5
101 400 -0.5 0.31 -0.5 -0.5 -0.04 10.687018 10.687018 -0.5
