"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Census Region"	"Census Region Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Population	Crude Rate
	"35 years"	"35"	"2001"	"2001"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	605	332216	182.1
	"35 years"	"35"	"2001"	"2001"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	30	28049	107.0
	"35 years"	"35"	"2001"	"2001"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	678	411473	164.8
	"35 years"	"35"	"2001"	"2001"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	174	106259	163.8
	"35 years"	"35"	"2001"	"2001"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	1420	606541	234.1
	"35 years"	"35"	"2001"	"2001"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	203	133777	151.7
	"35 years"	"35"	"2001"	"2001"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	527	293518	179.5
	"35 years"	"35"	"2002"	"2002"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	24	46362	51.8
	"35 years"	"35"	"2002"	"2002"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	287	330018	87.0
	"35 years"	"35"	"2002"	"2002"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	16	23727	Unreliable
	"35 years"	"35"	"2002"	"2002"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	339	402084	84.3
	"35 years"	"35"	"2002"	"2002"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	57	95638	59.6
	"35 years"	"35"	"2002"	"2002"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	786	600177	131.0
	"35 years"	"35"	"2002"	"2002"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	87	119780	72.6
	"35 years"	"35"	"2002"	"2002"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	280	273782	102.3
	"35 years"	"35"	"2002"	"2002"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	73	46241	157.9
	"35 years"	"35"	"2002"	"2002"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	519	317301	163.6
	"35 years"	"35"	"2002"	"2002"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	23	28569	80.5
	"35 years"	"35"	"2002"	"2002"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	679	397222	170.9
	"35 years"	"35"	"2002"	"2002"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	153	106556	143.6
	"35 years"	"35"	"2002"	"2002"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	1373	583976	235.1
	"35 years"	"35"	"2002"	"2002"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	171	133500	128.1
	"35 years"	"35"	"2002"	"2002"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	492	285986	172.0
	"35 years"	"35"	"2003"	"2003"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	31	47641	65.1
	"35 years"	"35"	"2003"	"2003"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	292	319464	91.4
	"35 years"	"35"	"2003"	"2003"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	14	25611	Unreliable
	"35 years"	"35"	"2003"	"2003"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	342	389554	87.8
	"35 years"	"35"	"2003"	"2003"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	57	100050	57.0
	"35 years"	"35"	"2003"	"2003"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	784	593616	132.1
	"35 years"	"35"	"2003"	"2003"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	104	125890	82.6
	"35 years"	"35"	"2003"	"2003"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	269	271849	99.0
	"35 years"	"35"	"2003"	"2003"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	70	47751	146.6
	"35 years"	"35"	"2003"	"2003"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	485	309054	156.9
	"35 years"	"35"	"2003"	"2003"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	33	30593	107.9
	"35 years"	"35"	"2003"	"2003"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	656	387420	169.3
	"35 years"	"35"	"2003"	"2003"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	143	112482	127.1
	"35 years"	"35"	"2003"	"2003"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	1295	576218	224.7
	"35 years"	"35"	"2003"	"2003"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	199	140121	142.0
	"35 years"	"35"	"2003"	"2003"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	506	284594	177.8
	"35 years"	"35"	"2004"	"2004"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	29	47405	61.2
	"35 years"	"35"	"2004"	"2004"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	266	316609	84.0
	"35 years"	"35"	"2004"	"2004"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	21	26367	79.6
	"35 years"	"35"	"2004"	"2004"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	347	394722	87.9
	"35 years"	"35"	"2004"	"2004"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	60	105672	56.8
	"35 years"	"35"	"2004"	"2004"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	747	604528	123.6
	"35 years"	"35"	"2004"	"2004"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	64	128939	49.6
	"35 years"	"35"	"2004"	"2004"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	268	280017	95.7
	"35 years"	"35"	"2004"	"2004"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	67	47843	140.0
	"35 years"	"35"	"2004"	"2004"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	538	305908	175.9
	"35 years"	"35"	"2004"	"2004"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	33	31824	103.7
	"35 years"	"35"	"2004"	"2004"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	635	396097	160.3
	"35 years"	"35"	"2004"	"2004"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	149	116608	127.8
	"35 years"	"35"	"2004"	"2004"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	1308	591922	221.0
	"35 years"	"35"	"2004"	"2004"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	212	143011	148.2
	"35 years"	"35"	"2004"	"2004"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	540	292673	184.5
	"35 years"	"35"	"2005"	"2005"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	26	50076	51.9
	"35 years"	"35"	"2005"	"2005"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	260	327991	79.3
	"35 years"	"35"	"2005"	"2005"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	13	29557	Unreliable
	"35 years"	"35"	"2005"	"2005"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	385	410206	93.9
	"35 years"	"35"	"2005"	"2005"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	64	115537	55.4
	"35 years"	"35"	"2005"	"2005"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	778	638123	121.9
	"35 years"	"35"	"2005"	"2005"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	90	139364	64.6
	"35 years"	"35"	"2005"	"2005"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	230	300540	76.5
	"35 years"	"35"	"2005"	"2005"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	53	51794	102.3
	"35 years"	"35"	"2005"	"2005"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	448	319318	140.3
	"35 years"	"35"	"2005"	"2005"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	39	35888	108.7
	"35 years"	"35"	"2005"	"2005"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	616	411542	149.7
	"35 years"	"35"	"2005"	"2005"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	172	129012	133.3
	"35 years"	"35"	"2005"	"2005"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	1324	626248	211.4
	"35 years"	"35"	"2005"	"2005"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	227	153652	147.7
	"35 years"	"35"	"2005"	"2005"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	519	315953	164.3
	"35 years"	"35"	"2006"	"2006"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	26	50925	51.1
	"35 years"	"35"	"2006"	"2006"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	244	311309	78.4
	"35 years"	"35"	"2006"	"2006"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	16	30244	Unreliable
	"35 years"	"35"	"2006"	"2006"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	366	406918	89.9
	"35 years"	"35"	"2006"	"2006"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	88	121580	72.4
	"35 years"	"35"	"2006"	"2006"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	773	641068	120.6
	"35 years"	"35"	"2006"	"2006"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	72	139237	51.7
	"35 years"	"35"	"2006"	"2006"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	295	284527	103.7
	"35 years"	"35"	"2006"	"2006"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	80	50945	157.0
	"35 years"	"35"	"2006"	"2006"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	513	301049	170.4
	"35 years"	"35"	"2006"	"2006"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	52	35185	147.8
	"35 years"	"35"	"2006"	"2006"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	750	403993	185.6
	"35 years"	"35"	"2006"	"2006"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	195	130927	148.9
	"35 years"	"35"	"2006"	"2006"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	1372	620512	221.1
	"35 years"	"35"	"2006"	"2006"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	195	149691	130.3
	"35 years"	"35"	"2006"	"2006"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	480	298706	160.7
	"35 years"	"35"	"2007"	"2007"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	36	48791	73.8
	"35 years"	"35"	"2007"	"2007"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	245	281181	87.1
	"35 years"	"35"	"2007"	"2007"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	11	31540	Unreliable
	"35 years"	"35"	"2007"	"2007"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	355	375059	94.7
	"35 years"	"35"	"2007"	"2007"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	68	126566	53.7
	"35 years"	"35"	"2007"	"2007"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	784	603894	129.8
	"35 years"	"35"	"2007"	"2007"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	89	140315	63.4
	"35 years"	"35"	"2007"	"2007"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	219	260145	84.2
	"35 years"	"35"	"2007"	"2007"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	58	49874	116.3
	"35 years"	"35"	"2007"	"2007"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	407	273845	148.6
	"35 years"	"35"	"2007"	"2007"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	34	36622	92.8
	"35 years"	"35"	"2007"	"2007"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	650	372640	174.4
	"35 years"	"35"	"2007"	"2007"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	198	137366	144.1
	"35 years"	"35"	"2007"	"2007"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	1275	586233	217.5
	"35 years"	"35"	"2007"	"2007"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	193	148695	129.8
	"35 years"	"35"	"2007"	"2007"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	441	275163	160.3
	"35 years"	"35"	"2008"	"2008"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	25	49118	50.9
	"35 years"	"35"	"2008"	"2008"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	221	261888	84.4
	"35 years"	"35"	"2008"	"2008"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	16	32397	Unreliable
	"35 years"	"35"	"2008"	"2008"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	322	349633	92.1
	"35 years"	"35"	"2008"	"2008"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	67	129962	51.6
	"35 years"	"35"	"2008"	"2008"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	755	569572	132.6
	"35 years"	"35"	"2008"	"2008"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	88	142987	61.5
	"35 years"	"35"	"2008"	"2008"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	207	245016	84.5
	"35 years"	"35"	"2008"	"2008"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	59	50746	116.3
	"35 years"	"35"	"2008"	"2008"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	395	253119	156.1
	"35 years"	"35"	"2008"	"2008"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	39	37513	104.0
	"35 years"	"35"	"2008"	"2008"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	602	346632	173.7
	"35 years"	"35"	"2008"	"2008"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	182	140329	129.7
	"35 years"	"35"	"2008"	"2008"	"Male"	"M"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	1176	551342	213.3
	"35 years"	"35"	"2008"	"2008"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	175	148730	117.7
	"35 years"	"35"	"2008"	"2008"	"Male"	"M"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	383	257862	148.5
	"35 years"	"35"	"2009"	"2009"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	22	49722	44.2
	"35 years"	"35"	"2009"	"2009"	"Female"	"F"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	186	250743	74.2
	"35 years"	"35"	"2009"	"2009"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	20	32651	61.3
	"35 years"	"35"	"2009"	"2009"	"Female"	"F"	"Census Region 2: Midwest"	"CENS-R2"	"Not Hispanic or Latino"	"2186-2"	305	339505	89.8
	"35 years"	"35"	"2009"	"2009"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Hispanic or Latino"	"2135-2"	70	132811	52.7
	"35 years"	"35"	"2009"	"2009"	"Female"	"F"	"Census Region 3: South"	"CENS-R3"	"Not Hispanic or Latino"	"2186-2"	669	549078	121.8
	"35 years"	"35"	"2009"	"2009"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Hispanic or Latino"	"2135-2"	97	143419	67.6
	"35 years"	"35"	"2009"	"2009"	"Female"	"F"	"Census Region 4: West"	"CENS-R4"	"Not Hispanic or Latino"	"2186-2"	202	240786	83.9
	"35 years"	"35"	"2009"	"2009"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Hispanic or Latino"	"2135-2"	61	51419	118.6
	"35 years"	"35"	"2009"	"2009"	"Male"	"M"	"Census Region 1: Northeast"	"CENS-R1"	"Not Hispanic or Latino"	"2186-2"	340	242796	140.0
	"35 years"	"35"	"2009"	"2009"	"Male"	"M"	"Census Region 2: Midwest"	"CENS-R2"	"Hispanic or Latino"	"2135-2"	27	37710	71.6
